PassengerId,Name,Sex,Age,Pclass,Fare,Embarked,Cabin,Survived
1,Jennifer Petersen,male,36.0,First,43.49,Q,o66,0
2,Christopher Ellis,male,,Third,32.49,Q,B62,0
3,Donald Robertson,male,70.0,Third,117.81,S,O51,1
4,James Larson,male,55.0,Third,47.32,S,,1
5,Mark Harmon,male,45.0,Second,203.71,Q,,1
6,Jessica Cole,female,71.0,First,160.87,C,X31,1
7,Jordan Zuniga,male,30.0,First,246.45,S,J96,1
8,Kimberly Brown,female,47.0,Third,95.26,Q,L14,1
9,Heidi Hoffman,male,22.0,Third,68.75,C,,1
10,Jennifer Taylor,male,42.0,Third,196.24,S,W74,0
11,Jennifer Hill,female,9.0,Second,236.3,C,,1
12,Debbie Wilson,female,59.0,Second,43.51,Q,,1
13,Tammy Singleton,female,52.0,Third,249.36,C,,0
14,Timothy Daniels,male,20.0,First,200.1,S,j88,1
15,Pamela Jones,female,33.0,Third,216.59,Q,,0
16,Amy Lee,female,44.0,Third,114.34,Q,s60,1
17,Wendy Brown,female,23.0,Third,35.54,Q,g65,1
18,Samuel Castillo,male,48.0,First,139.45,Q,i33,1
19,Holly Nolan,female,3.0,Second,97.12,C,,1
20,Nicholas Harris,male,11.0,Third,126.64,Q,v92,0
21,Amy Dillon,male,61.0,Third,49.63,S,V16,1
22,David Carr,male,40.0,Third,171.2,C,z06,1
23,Lisa Stewart,female,32.0,First,91.14,S,D02,1
24,Rebecca Valencia,male,8.0,First,227.3,S,C49,1
25,Courtney Jenkins,female,63.0,Third,41.75,Q,l00,1
26,Kevin Santiago,male,53.0,Second,33.26,C,Y85,1
27,Sara Patrick,female,7.0,Third,246.2,C,n16,0
28,Sean Smith,male,25.0,First,117.67,C,V63,1
29,Lauren Hensley,male,71.0,Second,166.51,S,X67,0
30,Katherine Mack,male,53.0,First,61.3,S,,1
31,John Whitaker,male,34.0,Second,198.43,C,s80,1
32,Sara Aguilar,female,25.0,First,242.49,Q,,1
33,Terry Powell,female,7.0,First,130.68,S,,1
34,Robin Cohen,male,9.0,First,172.05,S,Y20,0
35,Alexandria Stark,male,6.0,Third,110.61,C,,1
36,Matthew Foley,female,34.0,First,171.21,C,T29,1
37,Brenda Cherry,male,59.0,First,145.12,Q,,0
38,Trevor Mahoney,female,45.0,First,221.02,S,x98,1
39,Kristen Koch,female,,Third,206.1,Q,,1
40,Amanda Morgan,male,15.0,Second,188.18,C,,0
41,Brent Hamilton,male,44.0,Third,162.22,Q,x12,1
42,Curtis Walters,male,55.0,First,20.58,S,H85,0
43,Erin Palmer,female,57.0,First,112.64,S,q63,0
44,Ronnie Stewart,male,5.0,Third,149.8,C,,0
45,Mr. Jeffrey Young,female,6.0,Second,60.42,S,w23,0
46,Bradley Conner,female,20.0,Third,66.82,S,U13,0
47,Melissa Garcia,male,43.0,First,108.81,Q,V65,1
48,Alec Wolf,female,14.0,First,19.29,S,r20,1
49,Anthony White,female,40.0,Second,219.12,Q,,0
50,Mrs. Crystal Weaver,female,9.0,Second,76.99,C,L12,1
51,Bobby Brown,female,15.0,First,72.69,C,,1
52,Nicole Soto,female,41.0,Second,246.22,Q,,0
53,Timothy Wagner,male,,Third,232.14,C,K58,0
54,Jacob Powers,female,41.0,Third,39.91,Q,,1
55,Frank Gonzalez,female,52.0,Second,143.06,Q,e52,0
56,Keith Meyers,male,73.0,Third,141.5,C,,0
57,Laura English,female,42.0,Third,116.12,C,I65,0
58,Leah Robinson,male,11.0,Third,169.32,S,e83,1
59,April Lloyd,male,40.0,Third,57.79,S,,0
60,James Tucker,female,10.0,Third,222.67,Q,i62,1
61,Jordan Lopez,female,32.0,Second,175.03,S,A33,1
62,Catherine Martinez,male,67.0,First,143.78,S,x29,1
63,Jamie Parker,female,68.0,Third,152.91,C,n09,1
64,Michael Cross,female,58.0,Third,188.48,C,o66,1
65,Leah Ingram,female,63.0,Third,75.9,C,,0
66,Christine Frederick,female,70.0,Second,46.2,S,O27,1
67,Christian Brown,male,53.0,Second,121.82,S,U58,0
68,Darren Patterson,female,3.0,Third,193.74,S,U44,1
69,Thomas Thompson,female,54.0,Second,186.31,S,s24,1
70,Chris Taylor,female,,Second,90.67,C,H55,1
71,Matthew Lewis,female,,First,104.56,S,,1
